id,group,index,topology,oc,pump_mW,GDD_ps2,rounds,status,energy_pJ,energy_mean_pJ,energy_min_pJ,energy_max_pJ,energy_cv,peaks,single_tail,residual,edge_max,spectral_edge_max,FWHM_ps,CNT_energy_pJ,CNT_peak_W,inversion_gap,inversion_drift,numerical_pass,energy_range_pass,screen_candidate,dt_ps,source
g08_c39,8,39,CNT_OC,0.6,150.0,0.2,60,spectral_boundary,3374.4917922690493,2602.066657439825,258.86539125128274,7779.615530741262,0.919782044883559,46,False,0.7571305611586103,6.04846984954636e-07,0.006156318957585337,0.625,6575.381348260186,494.0452983864424,0.24683563516657758,0.0070040976047272,False,False,False,0.125,fine_group_08.mat
g08_c40,8,40,CNT_OC,0.7,5.0,0.2,600,completed,8.998585048862283e-05,0.000552421951739153,8.998585048862283e-05,0.001728732182672184,0.8120546587769746,1,True,0.030136230415284702,1.0086005170004072e-23,1.0412673912559769e-30,68.0,0.00015655150930384096,2.1654934883419497e-06,0.45516429761949795,0.00014326603373659985,True,False,False,0.125,fine_group_08.mat
g08_c41,8,41,CNT_OC,0.7,10.0,0.2,600,completed,0.14638365840198744,0.16274570672881603,0.1461993212712798,0.20226745873540522,0.10166999892613877,1,True,0.0049148991037903265,1.299211794261211e-23,1.0711740920269176e-30,67.0,0.254667789925012,0.0035731175576848647,0.3098019395316605,0.0009412421783162594,True,False,False,0.125,fine_group_08.mat
g08_c42,8,42,CNT_OC,0.7,15.0,0.2,600,completed,258.9449298147891,88.68215397021096,24.32241500086601,258.9449298147891,0.7081999492112104,1,True,0.03317016387303466,4.42443691903642e-24,1.0131671279554239e-30,60.25,447.7251791461094,6.87439377525549,0.21650872717674607,0.001350963258800908,True,False,False,0.125,fine_group_08.mat
g08_c43,8,43,CNT_OC,0.7,20.0,0.2,600,completed,79.92405600473433,1634.4432416159232,79.92405600473433,4519.445550554426,0.9869683433893214,1,True,0.04806976601073063,7.891148085054679e-25,9.745624926475283e-31,28.25,138.47614978402413,4.461040056157307,0.24478882358754284,0.004104124665552988,True,False,False,0.125,fine_group_08.mat
g08_c44,8,44,CNT_OC,0.7,30.0,0.2,600,completed,1737.4177268132848,1124.3172614077876,551.947123468789,1742.4489195102956,0.3670196758032242,1,True,0.015983382666474113,5.509322657663752e-25,9.659116641057165e-31,28.125,2926.0971221433815,91.15469036689498,0.18159829501930036,0.0006035025402666427,True,False,False,0.125,fine_group_08.mat
g08_c45,8,45,CNT_OC,0.7,50.0,0.2,600,completed,2573.8668592746553,2017.2854707231395,1794.6924134418273,2573.8668592746553,0.10507735572468688,3,False,0.014810715497187776,1.2280436945540658e-21,9.54215949386102e-31,21.5,4357.877075390302,103.61403118233991,0.15462841744684286,0.001097471734973543,True,False,False,0.125,fine_group_08.mat
g08_c46,8,46,CNT_OC,0.7,100.0,0.2,80,spectral_boundary,1946.4734831818407,2765.4831434522202,258.4531061694612,7418.637882820143,0.8698073683182007,19,False,0.7017414828806765,3.8117244319249505e-08,0.0008257068484169983,0.625,3271.5941900418143,251.65966128171007,0.24362784232338675,0.0030378626412209675,False,False,False,0.125,fine_group_08.mat
g08_c47,8,47,CNT_OC,0.7,150.0,0.2,60,spectral_boundary,6040.082146396044,3228.5432951608896,258.4531061694612,9927.791866769336,1.025992874029526,41,False,0.7157098460365364,1.6948317428044113e-07,0.0020116599521931406,0.375,10036.703137208844,836.3763255680967,0.20193958163313247,0.005836236498323766,False,False,False,0.125,fine_group_08.mat
g08_c48,8,48,CNT_OC,0.8,5.0,0.2,600,completed,9.46959265508092e-06,9.276430045066567e-05,9.46959265508092e-06,0.0003409695113556427,0.9571287715671202,1,True,0.036203053034753005,1.0583519490391541e-23,8.537563871894935e-31,61.375,1.4415256847495577e-05,2.2145112283498158e-07,0.3975612277324037,7.530695290736134e-05,True,False,False,0.125,fine_group_08.mat
g08_c49,8,49,CNT_OC,0.8,10.0,0.2,600,completed,0.010586638714768434,0.01759703699875568,0.010586638714768434,0.029783581482251322,0.31004142743948054,1,True,0.011911430615526835,1.093602132533668e-23,8.557573948085846e-31,60.625,0.01611569600847986,0.0002505011378685181,0.2222677445897377,0.0008574430176419012,True,False,False,0.125,fine_group_08.mat
g08_c50,8,50,CNT_OC,0.8,15.0,0.2,600,completed,13.750835924501846,6.36502582651419,2.9427982518185525,13.750835924501846,0.4708749453099764,1,True,0.021664254570456613,1.2689277501005351e-23,8.530540984515742e-31,59.375,20.92532536070178,0.33062649220297224,0.20243187428042975,0.0016107813287351558,True,False,False,0.125,fine_group_08.mat
g08_c51,8,51,CNT_OC,0.8,20.0,0.2,600,completed,2135.419324355654,3291.7740919219564,390.75154279188325,6916.736916661588,0.6772217119749766,1,True,0.06056795977573411,1.6520537315648333e-24,8.243882937262705e-31,25.0,3153.8371792567827,94.6682274290617,0.2352273021876724,0.010494013104352162,True,False,False,0.125,fine_group_08.mat
g08_c52,8,52,CNT_OC,0.8,30.0,0.2,600,completed,398.863716166661,231.70786409073423,187.4991280719222,398.863716166661,0.23930340049288043,1,True,0.022688620438054728,8.041344310926209e-25,7.952468750502858e-31,32.0,599.3474591945559,17.18246281441098,0.17841310630608442,0.0030668327047644883,True,True,False,0.125,fine_group_08.mat
g08_c53,8,53,CNT_OC,0.8,50.0,0.2,600,completed,1872.1367700239743,1838.5763582923337,1791.976459692462,1872.1367700239743,0.010746670514650043,1,True,0.002195244639014691,1.5076376657164934e-22,7.227500686358581e-31,19.625,2754.9900196548533,118.17135738807994,0.17630878662330912,3.759503604250369e-05,True,False,False,0.125,fine_group_08.mat
g08_c54,8,54,CNT_OC,0.8,100.0,0.2,600,completed,5285.82613049887,3855.8105277973123,3009.5314350440894,5301.1204365363865,0.22141807700518276,37,False,0.09705989008779796,9.284379524403555e-18,1.5951348239805391e-12,39.5,7766.2576370265615,125.47742898264246,0.1255069136650816,0.00011389520471238868,True,False,False,0.125,fine_group_08.mat
g08_c55,8,55,CNT_OC,0.8,150.0,0.2,100,spectral_boundary,4141.203661871051,3702.5124915511965,258.1194772985905,12391.910834341139,0.9571695911583918,17,False,0.6994848865205657,5.837323853923228e-08,0.0006428911610511176,1.125,6034.73004133135,532.8421151838731,0.20405901441198193,0.008328369701040117,False,False,False,0.125,fine_group_08.mat
g08_c56,8,56,CNT_OC,0.9,5.0,0.2,600,completed,1.7694018893465198e-07,4.213274799943186e-06,1.7694018893465198e-07,1.9734239453520994e-05,1.1912353862927334,1,True,0.04709293267921625,1.3179779598606201e-23,6.902720578395561e-31,53.875,2.3942254973289625e-07,4.217412582203328e-09,0.2480849354649195,7.676486561958296e-05,True,False,False,0.125,fine_group_08.mat
g08_c57,8,57,CNT_OC,0.9,10.0,0.2,600,completed,7.756612324016782e-05,0.00032089222423575895,7.756612324016782e-05,0.0008855447410691299,0.6940884006684359,1,True,0.025552062379882383,1.1476115530920281e-23,6.501921815242899e-31,53.25,0.00010495681662233555,1.8661408497469739e-06,0.11529337399988482,0.0006394436083521082,True,False,False,0.125,fine_group_08.mat
g08_c58,8,58,CNT_OC,0.9,15.0,0.2,600,completed,0.04238541308579316,0.041175205741909984,0.03912293129252195,0.04732990724511573,0.052264496238582474,1,True,0.0036387594574667265,1.1287994595188424e-23,6.170814039435228e-31,52.375,0.057352786294024544,0.0010276691505011627,0.12427945301815457,0.0013479530748380375,True,False,False,0.125,fine_group_08.mat
