round,energy_pJ,cnt_peak_W,cnt_q_min,inversion_gap,tau_max_us,peaks,time_edge,spectral_edge,dt_ps,n,gain_age_min,gain_memory_max
6907,771.8111739064307,25.931081299739198,0.03033933371805885,0.11013062536377338,311.3115390842583,2,4.0271394199793453e-22,1.622237682415584e-30,0.03125,65536,4.131455228413861,0.016059491581365333
6908,770.3184806263714,25.888749956944764,0.03035879839801803,0.11037500404321066,311.7585704092826,2,4.102637224657603e-22,1.611100100529634e-30,0.03125,65536,4.131793936571588,0.016054053021652036
6909,769.1312121693943,25.85613003593643,0.030373836065890256,0.11056966350590314,312.1080478316341,2,4.179199553915974e-22,1.5970060206016135e-30,0.03125,65536,4.1321323030313435,0.016048621787491935
6910,768.2491755577855,25.833190549320236,0.030384418206965077,0.11071445533931945,312.3593592589099,2,4.256797032984176e-22,1.6150096108550383e-30,0.03125,65536,4.1324704267168695,0.016043196285642568
6911,767.6724839405022,25.82000696377096,0.03039047786375765,0.11080922889826539,312.5119798341559,2,4.335422348577015e-22,1.5858967952615256e-30,0.03125,65536,4.132808406595441,0.01603777492431718
6912,767.4015598114325,25.816675392875602,0.03039201510878207,0.11085383090172618,312.5654726965579,2,4.415078620978824e-22,1.6409758454423455e-30,0.03125,65536,4.133146341775974,0.016032356111608078
6913,767.4371387040418,25.82321112449891,0.030388985273045486,0.11084810506498177,312.51948962322984,2,4.495746789399425e-22,1.5997772180422065e-30,0.03125,65536,4.133484331608313,0.01602693825389589
6914,767.7802732053206,25.83973617010671,0.030381340462146203,0.11079189179428317,312.373771605606,2,4.577402435596711e-22,1.6322645051633436e-30,0.03125,65536,4.133822475783825,0.01602151975424273
6915,768.4323370767867,25.866330931553307,0.030369071594232487,0.11068502798640145,312.12814944162034,2,4.660061203095666e-22,1.652331185639334e-30,0.03125,65536,4.134160874437325,0.01601609901076875
6916,769.3950293881084,25.90305931167209,0.03035212319667995,0.11052734696195843,311.78254439518446,2,4.743695218497748e-22,1.62581140258941e-30,0.03125,65536,4.134499628250356,0.016010674415012097
6917,770.6703787392883,25.95009284713324,0.030330468999585147,0.11031867853507671,311.3369689200845,2,4.828307267708585e-22,1.629099506416368e-30,0.03125,65536,4.134838838555803,0.016005244350272393
6918,772.2607477567534,26.00749811873409,0.030304089328556313,0.11005884919821429,310.791527398872,2,4.913902703604658e-22,1.6994183484914827e-30,0.03125,65536,4.135178607443905,0.015999807189936967
6919,774.16883810489,26.07539966748701,0.030272916451836992,0.10974768238112731,310.1464168104731,2,5.000457132650501e-22,1.6401996170921963e-30,0.03125,65536,4.13551903786979,0.015994361295787837
6920,776.3976961693629,26.15399415259453,0.03023694861916226,0.10938499874870178,309.4019272543829,2,5.0879725833699175e-22,1.645078751800614e-30,0.03125,65536,4.135860233762755,0.015988905016286133
6921,778.9507193393516,26.243363643682574,0.03019614284750024,0.10897061654077755,308.55844233512676,2,5.1764293838954945e-22,1.6273036130785272e-30,0.03125,65536,4.136202300137483,0.015983436684830824
6922,781.8316626700039,26.34370068844832,0.03015045227798446,0.10850435199004882,307.61643947228094,2,5.26584016743991e-22,1.730552207552857e-30,0.03125,65536,4.136545343207351,0.01597795461798969
6923,785.0446457489379,26.455190672770776,0.030099868559965947,0.10798601985719447,306.5764902028521,2,5.356167208881917e-22,1.7057176539347284e-30,0.03125,65536,4.13688947049989,0.015972457113701585
6924,788.5941597124995,26.57797251496129,0.030044332264447006,0.10741543410569632,305.4392605072123,2,5.447414244272066e-22,1.6428210529535057e-30,0.03125,65536,4.137234790974426,0.015966942449449614
6925,792.485074487563,26.71229811644634,0.029983827057479706,0.10679240871194473,304.20551113744546,2,5.539544347583975e-22,1.6483025245254123e-30,0.03125,65536,4.137581415141956,0.01596140888040485
6926,796.7226464043563,26.85834280328563,0.029918324959881133,0.10611675858557745,302.8760978890563,2,5.632539330616845e-22,1.657233602960024e-30,0.03125,65536,4.137929455187349,0.01595585463753912
6927,801.3125262409202,27.016308244181698,0.029847769388422398,0.10538830058333748,301.4519717750984,2,5.726364886855174e-22,1.62909561805094e-30,0.03125,65536,4.138279025093995,0.015950277925705122
6928,806.2607676095938,27.186503958203044,0.029772160407261182,0.10460685462590202,299.9341791116019,2,5.821019390287479e-22,1.6373408862621e-30,0.03125,65536,4.1386302407710325,0.015944676921682298
6929,811.5738355526802,27.369102195005368,0.02969144403665615,0.10377224494055648,298.3238615457332,2,5.916462794552493e-22,1.644351566604672e-30,0.03125,65536,4.138983220183201,0.015939049772187647
6930,817.2586152777053,27.56439302902898,0.029605601383437985,0.10288430144732774,296.6222560448485,2,6.012700827831885e-22,1.5933033617388055e-30,0.03125,65536,4.139338083483361,0.0159333945918514
6931,823.3224210593254,27.77267837146558,0.029514612431594395,0.10194286128960339,294.8306948321827,2,6.109705080823767e-22,1.6023786978488776e-30,0.03125,65536,4.139694953147697,0.01592770946115735
6932,829.7730054232106,27.9941977209696,0.029418423629338677,0.1009477704894085,292.95060521770563,2,6.207444363284462e-22,1.6180553203937914e-30,0.03125,65536,4.140053954113667,0.015921992424347376
6933,836.6185687120818,28.229312824808247,0.029317041992098808,0.09989888570188121,290.9835092663437,2,6.30590585747641e-22,1.5614146686826118e-30,0.03125,65536,4.140415213920802,0.015916241487288707
6934,843.8677689747499,28.4783178936003,0.029210417586145298,0.09879607606416885,288.9310232875867,2,6.405052159998003e-22,1.5250472024568801e-30,0.03125,65536,4.1407788628544635,0.01591045461530264
6935,851.5297319411322,28.74152584996499,0.029098543135104668,0.09763922516304846,286.79485718387326,2,6.504891117516626e-22,1.5402273980213961e-30,0.03125,65536,4.141145034092599,0.0159046297309545
6936,859.6140607648867,29.019371725572864,0.028981400862918203,0.09642823316346216,284.5768137235988,2,6.60534422695184e-22,1.5148966561428852e-30,0.03125,65536,4.141513863855429,0.01589876471180623
6937,868.1308452509771,29.312144958848556,0.028858955336395865,0.09518063810457145,282.2787877975797,2,6.706435857102389e-22,1.5300184909995246e-30,0.03125,65536,4.1418854915579,0.01589285738813479
6938,877.0906704491605,29.620264490070106,0.028731220691403436,0.09393738725280476,279.9027656690131,2,6.808112962615435e-22,1.5606567857945152e-30,0.03125,65536,4.142260059964661,0.015886905540620652
6939,886.504624720741,29.94415823943487,0.02859815128126208,0.09264137400780792,277.45082415575826,2,6.910347472846359e-22,1.5468740881126693e-30,0.03125,65536,4.142637715347329,0.015880906898010437
6940,896.3843075095906,30.284194684095844,0.02845976815682648,0.09129232441431034,274.92512963907154,2,7.013111998934563e-22,1.582085084289466e-30,0.03125,65536,4.1430186076439055,0.015874859134756666
6941,906.7418369836128,30.640878438630633,0.028316051464173785,0.08988998029789563,272.32793680090015,2,7.116357226809494e-22,1.510350602090651e-30,0.03125,65536,4.14340289062026,0.015868759868636277
6942,917.589857494822,31.01462698188147,0.028167001629660515,0.08843410223361092,269.6615870448429,2,7.220075418766209e-22,1.5231670911532424e-30,0.03125,65536,4.143790722033613,0.015862606658349508
6943,928.9415465072593,31.40590321149041,0.028012634298246887,0.08692447264595293,266.9285066341129,2,7.324220317948423e-22,1.5633310710006962e-30,0.03125,65536,4.14418226379788,0.015856397001102036
6944,940.810620403774,31.815271869866837,0.027852932601121316,0.08536089909629174,264.1312046428603,2,7.428758260269999e-22,1.549786565286346e-30,0.03125,65536,4.144577682150544,0.01585012833017612
6945,953.2113385647457,32.24316568896429,0.027687942800535444,0.0837432178225046,261.2722708211173,2,7.53366280310915e-22,1.532433250317351e-30,0.03125,65536,4.1449771478205175,0.015843798012500018
6946,966.1585053170224,32.690163330364776,0.02751764752929931,0.08207129756969755,258.35437341696576,2,7.638895272245698e-22,1.5656454866120767e-30,0.03125,65536,4.145380836196277,0.015837403346227553
6947,979.6674696421425,33.15681307659135,0.027342103466221585,0.08034504370535367,255.380256917574,2,7.744416885834066e-22,1.5000092581727289e-30,0.03125,65536,4.145788927493488,0.015830941558340916
6948,993.7541227524864,33.64363590685376,0.027161320333393912,0.07856440256884467,252.35273960494837,2,7.8502005875366855e-22,1.5560554860241326e-30,0.03125,65536,4.14620160692137,0.015824409802289163
6949,1008.4348936428913,34.15130758970842,0.02697534637864469,0.07672936598868785,249.27471081165368,2,7.956212866384517e-22,1.5439614758212432e-30,0.03125,65536,4.146619064847097,0.015817805155674197
