grid,id,group,index,topology,oc,pump_mW,GDD_ps2,rounds,status,energy_pJ,energy_mean_pJ,energy_min_pJ,energy_max_pJ,energy_cv,peaks,single_tail,residual,edge_max,spectral_edge_max,FWHM_ps,CNT_energy_pJ,CNT_peak_W,inversion_gap,inversion_drift,numerical_pass,energy_range_pass,screen_candidate
coarse,g06_c50,6,50,CNT_OC,0.8,15.0,0.0,60,spectral_boundary,1581.1229320412801,771.0939845988268,258.11942051571174,1583.3630487269188,0.561198114396605,1,True,0.04570154402389257,5.414451768903518e-16,4.0817593143500366e-08,11.0,2319.6763382506806,159.89571523845103,0.28040048344273966,0.0008559895729112199,False,False,False
coarse,g06_c51,6,51,CNT_OC,0.8,20.0,0.0,60,spectral_boundary,1703.7433543870327,814.0103690312827,258.11942051571174,1713.6175498587572,0.5895315543318574,1,True,0.04847587864972235,7.396424129378411e-15,4.741221107904454e-07,11.0,2497.785227398792,171.29180755686255,0.27579532690059166,0.0004890858265893527,False,False,False
coarse,g06_c52,6,52,CNT_OC,0.8,30.0,0.0,60,spectral_boundary,1926.3545826186387,904.9541164301877,258.11942051571174,1978.4502490711952,0.6401340421906826,1,True,0.05402600022358224,7.227561104925372e-13,3.4472916957157914e-05,11.0,2821.2994208279806,186.59593416768197,0.2679099550318385,0.00023269556510807643,False,False,False
coarse,g06_c53,6,53,CNT_OC,0.8,50.0,0.0,60,spectral_boundary,2179.1582731550043,1099.3388977846087,258.11942051571174,2532.7919165752473,0.7141899834498177,2,False,0.18909002293971744,1.032922356811363e-09,0.009272922267695398,6.5,3190.7365639233712,239.26425246797606,0.253347848394869,0.0016470605431275764,False,False,False
coarse,g06_c54,6,54,CNT_OC,0.8,100.0,0.0,60,spectral_boundary,2632.6408450569675,1611.1080496661418,258.11942051571174,3990.6545256444197,0.8006271192488706,6,False,0.4099957086355417,5.599240898313352e-08,0.053732685622181774,1.5,3854.0930705492665,280.63514599178006,0.22494513910720493,0.005116778689444823,False,False,False
coarse,g06_c55,6,55,CNT_OC,0.8,150.0,0.0,60,spectral_boundary,4084.3228291227906,2248.4902128654303,258.11942051571174,5512.210774202485,0.836698923331487,12,False,0.7190003129397536,2.0920114609540732e-07,0.08625641263723584,1.5,5956.086577542675,470.02112166400315,0.22016943009685597,0.008280182377074063,False,False,False
coarse,g06_c56,6,56,CNT_OC,0.9,5.0,0.0,80,spectral_boundary,1160.020399269937,897.9626976826934,257.84266693182184,1693.9414671437535,0.5486514529169182,1,True,0.11213961539435632,8.496215506144253e-10,0.005292473085775503,6.5,1521.891518031725,120.06705939258808,0.36791522053577647,0.002761089883545287,False,False,False
coarse,g06_c57,6,57,CNT_OC,0.9,10.0,0.0,80,spectral_boundary,1141.3725195305578,958.6950110887025,257.84266693182184,1879.409054514881,0.5763322132466334,4,False,0.13080800674288123,2.8821097991711593e-09,0.012674762671259486,5.0,1499.153480244973,108.84378260583485,0.3462015912769091,0.00236838193709743,False,False,False
coarse,g06_c58,6,58,CNT_OC,0.9,15.0,0.0,80,spectral_boundary,1133.8793402923634,1019.1347258081141,257.84266693182184,2067.185660749844,0.6012449023062493,4,False,0.139164560378082,5.060646805841943e-09,0.013792656147063353,1.0,1490.2726430766415,135.74822869466186,0.3258429560747475,0.0019752360820262105,False,False,False
coarse,g06_c59,6,59,CNT_OC,0.9,20.0,0.0,80,spectral_boundary,1157.924992953078,1080.0137930045385,257.84266693182184,2261.4899086263376,0.6235549906705667,4,False,0.1540785567871322,5.313167754468247e-09,0.012564291056291504,2.0,1521.7963693602153,141.34107552435242,0.3082586325324972,0.0015838378432565525,False,False,False
coarse,g06_c60,6,60,CNT_OC,0.9,30.0,0.0,80,spectral_boundary,1274.2532762551186,1205.2296922861817,257.84266693182184,2656.7934152022535,0.6607212177676153,3,False,0.19502015542503104,5.302838972073254e-09,0.009670862079723066,2.0,1673.3120147143275,132.10850049267142,0.2817264977537254,0.0008125671160161829,False,False,False
coarse,g06_c61,6,61,CNT_OC,0.9,50.0,0.0,80,spectral_boundary,1765.6377743069315,1482.3682350977883,257.84266693182184,3479.1343444538124,0.7088710467969844,3,False,0.2150654190288208,4.528371335830378e-09,0.006932997865031845,2.5,2310.620663997608,198.1540501302463,0.25829326625718296,0.0006459804124866464,False,False,False
coarse,g06_c62,6,62,CNT_OC,0.9,100.0,0.0,60,spectral_boundary,4803.973708091645,1873.4448113637134,257.84266693182184,5621.827322333002,0.9656888579011773,2,False,0.2108951641039264,6.150102269779269e-10,0.010658279490211593,3.5,6212.84906130341,488.94016090814563,0.27601424279375786,0.0038374007622740125,False,False,False
coarse,g06_c63,6,63,CNT_OC,0.9,150.0,0.0,60,spectral_boundary,5295.692558417649,2637.851949059454,257.84266693182184,7820.907034415048,0.9829482113168432,7,False,0.37757428487590755,1.464216414534449e-07,0.03570741566603487,1.5,6850.295137165028,426.0003777048474,0.2420325139708419,0.006357925418386312,False,False,False
coarse,g07_c00,7,0,CNT_OC,0.2,5.0,0.1,40,spectral_boundary,483.26309878277254,487.01267019745376,262.427883876755,628.3637901007164,0.23702700569109458,14,False,0.7549830362237525,7.449001480736871e-07,0.07375845567926675,1.0,2840.306589601983,358.7371836254627,0.11160719051796586,0.0017284982403450444,False,False,False
coarse,g07_c01,7,1,CNT_OC,0.2,10.0,0.1,40,spectral_boundary,473.44462415212803,491.02942049932756,262.427883876755,643.5587012369675,0.24312924522134916,12,False,0.8958046838715784,4.3095178908621134e-07,0.10721820280423765,1.5,2782.686147839153,334.3629638377548,0.11089956946543411,0.0014209051314519883,False,False,False
coarse,g07_c02,7,2,CNT_OC,0.2,15.0,0.1,40,spectral_boundary,503.2865339536436,500.56629155616355,262.427883876755,659.0690693989006,0.24938792870760063,11,False,0.8469250390781861,2.266616852306627e-07,0.07896727597776289,1.0,2955.6484342403664,475.96948497192164,0.12556662935160245,0.0011371232257934016,False,False,False
